Category	Bin	Completeness	Contamination	GC_content	N50	N_contigs	Size	Classification	p	c	o	f	g	s	Annotated.at.the.species.level
Animal	SRR12181005_bin.6	98.77	3.839	0.395	238769	20	1713145	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Bombilactobacillus	s__Bombilactobacillus mellifer	Yes
Animal	ERR2282092_bin.113	91.4	1.886	0.382	24787	133	1750748	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Absicoccus	s__Absicoccus porci	Yes
Clinical	SRR14355432_bin.12	99.43	0.07	0.439	175631	18	1752464	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Leuconostoc	s__Leuconostoc sp900554745	Yes
Clinical	ERR525889_bin.17	97.75	0	0.46	73636	37	1757734	d__Bacteria	p__Bacillota	c__Bacilli	o__RFN20	f__CAG-826	g__Enteromonas	s__Enteromonas sp900539595	Yes
Clinical	ERR4283279_bin.3	100	1.333	0.272	203191	29	1760062	d__Bacteria	p__Bacillota	c__Bacilli	o__ML615J-28	f__CAG-698	g__CAKOMG01	s__CAKOMG01 sp934096585	Yes
Animal	SRR15023600_bin.56	92.02	3.531	0.465	19803	195	1768120	d__Bacteria	p__Bacillota	c__Bacilli	o__RFN20	f__CAG-826	g__Enteromonas	s__	No
Animal	ERR2027903_bin.5	95.69	4.494	0.4	14063	213	1783216	d__Bacteria	p__Bacillota	c__Bacilli	o__RFN20	f__CAG-288	g__Enterosoma	s__Enterosoma sp900313465	Yes
Animal	SRR29757213_bin.35	92.13	1.284	0.292	29745	406	1784408	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__Faecimonas	s__Faecimonas sp017886705	Yes
Animal	SRR24359765_bin.30	98.66	0.222	0.349	77590	36	1784756	d__Bacteria	p__Bacillota	c__Bacilli	o__Acholeplasmatales	f__Anaeroplasmataceae	g__Pelethenecus	s__Pelethenecus sp900540705	Yes
Environment	ERR1713368_bin.7	91.37	1.635	0.369	53915	55	1788219	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Lactococcus_A	s__Lactococcus_A plantarum	Yes
Clinical	SRR18191118_bin.36	94.28	2.619	0.325	18031	148	1797975	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__UBA636	s__UBA636 sp900546285	Yes
Animal	SRR29472740_bin.19	94.38	4.494	0.262	50795	214	1798125	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__Coprovivens	s__	No
Animal	SRR20930591_bin.23	95.08	0	0.383	157922	20	1810815	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Limosilactobacillus	s__Limosilactobacillus reuteri_D	Yes
Clinical	SRR14017479_bin.6	99.07	0.411	0.371	443145	8	1817859	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Pediococcus	s__Pediococcus pentosaceus	Yes
Clinical	SRR14355343_bin.2	100	0	0.28	95408	39	1819579	d__Bacteria	p__Bacillota	c__Bacilli	o__ML615J-28	f__CAG-698	g__CAG-698	s__CAG-698 sp000431235	Yes
Clinical	SRR21615075_bin.4	96.83	0	0.305	87201	39	1821050	d__Bacteria	p__Bacillota	c__Bacilli	o__Staphylococcales	f__Gemellaceae	g__Gemella	s__Gemella morbillorum	Yes
Clinical	SRR21144625_bin.1	98.6	2.824	0.393	36779	72	1833841	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__	No
Clinical	SRR12557704_bin.7	98.87	0.222	0.432	79874	53	1836094	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Ligilactobacillus	s__	No
Animal	SRR20930606_bin.35	97.33	0.111	0.323	32715	97	1841810	d__Bacteria	p__Bacillota	c__Bacilli	o__Acholeplasmatales	f__Anaeroplasmataceae	g__Pelethenecus	s__Pelethenecus sp910579215	Yes
Animal	SRR29536165_bin.23	90.56	0.943	0.396	44459	27	1849399	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Merdibacter	s__Merdibacter massiliensis	Yes
Clinical	SRR17048957_bin.11	95.5	1.123	0.461	13947	198	1850507	d__Bacteria	p__Bacillota	c__Bacilli	o__RFN20	f__CAG-826	g__Enteromonas	s__Enteromonas sp900767605	Yes
Clinical	SRR17048999_bin.4	94.56	0	0.456	21796	134	1852137	d__Bacteria	p__Bacillota	c__Bacilli	o__RFN20	f__CAG-288	g__Enterosoma	s__Enterosoma sp021621525	Yes
Clinical	SRR14355437_bin.34	97.26	0	0.417	276347	53	1855784	d__Bacteria	p__Bacillota	c__Bacilli	o__RFN20	f__CAG-288	g__Enterosoma	s__Enterosoma sp900549915	Yes
Animal	SRR14202251_bin.33	98.11	2.291	0.376	55593	56	1857674	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Allobaculum	s__Allobaculum stercoricanis	Yes
Animal	ERR2027899_bin.2	97.37	1.123	0.455	32994	82	1859830	d__Bacteria	p__Bacillota	c__Bacilli	o__RFN20	f__CAG-288	g__Enterosoma	s__Enterosoma sp900316035	Yes
Animal	SRR15023587_bin.13	94.78	0	0.33	31619	89	1865551	d__Bacteria	p__Bacillota	c__Bacilli	o__Acholeplasmatales	f__Anaeroplasmataceae	g__Anaeroplasma	s__	No
Animal	SRR14202207_bin.5	95.58	0.552	0.371	55393	79	1891051	d__Bacteria	p__Bacillota	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Macrococcus_B	s__Macrococcus_B caseolyticus	Yes
Clinical	SRR12557733_bin.19	90.71	4.189	0.476	11780	205	1906260	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	g__Trichococcus	s__	No
Clinical	SRR14355443_bin.67	97.59	1.123	0.349	105305	36	1906425	d__Bacteria	p__Bacillota	c__Bacilli	o__RFN20	f__CAG-826	g__Enteromonas	s__Enteromonas sp900767825	Yes
Animal	SRR12180980_bin.4	92.76	1.082	0.357	141843	29	1906849	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	s__Lactobacillus kimbladii_A	Yes
Clinical	ERR4283407_bin.37	98.66	1.333	0.283	21767	137	1909403	d__Bacteria	p__Bacillota	c__Bacilli	o__ML615J-28	f__CAG-313	g__UBA1737	s__UBA1737 sp934098295	Yes
Clinical	SRR21144654_bin.7	95.18	0.546	0.335	20996	127	1910181	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	g__Granulicatella	s__	No
Clinical	SRR21615059_bin.13	99.18	0.546	0.523	57508	57	1925605	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Limosilactobacillus	s__Limosilactobacillus fermentum	Yes
Clinical	SRR21615067_bin.7	100	0	0.368	95098	27	1927999	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Bulleidia	s__Bulleidia moorei	Yes
Animal	SRR21163453_bin.3	96.36	2.255	0.408	22671	133	1937404	d__Bacteria	p__Bacillota	c__Bacilli	o__Staphylococcales	f__Salinicoccaceae	g__Jeotgalicoccus	s__Jeotgalicoccus aerolatus	Yes
Environment	SRR13727525_bin.33	98	2.666	0.343	10660	268	1944505	d__Bacteria	p__Bacillota	c__Bacilli	o__Acholeplasmatales	f__Acholeplasmataceae	g__UBA2284	s__	No
Animal	SRR21163524_bin.4	91.61	2.428	0.352	10357	264	1947073	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus_E	s__Enterococcus_E columbae_A	Yes
Animal	SRR21163453_bin.1	99.18	1.639	0.505	175743	41	1951839	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Limosilactobacillus	s__Limosilactobacillus ingluviei	Yes
Clinical	SRR18191136_bin.5	99.45	1.268	0.537	99630	33	1955412	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Limosilactobacillus	s__Limosilactobacillus intestinigallinarum	Yes
Clinical	SRR12557734_bin.179	91.74	1.904	0.358	25425	107	1962198	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Bulleidia	s__Bulleidia sp934725105	Yes
Clinical	SRR18191176_bin.54	99.91	1.747	0.367	139593	19	1962959	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus mutans	Yes
Environment	ERR1713401_bin.21	95.96	0.474	0.38	30217	114	1990667	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Lactococcus	s__Lactococcus hircilactis	Yes
Animal	SRR21163514_bin.11	96.69	0	0.328	26303	123	1992511	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Coprobacillaceae	g__Faecalibacillus	s__	No
Clinical	SRR14355369_bin.11	99.35	0.216	0.518	40249	85	1993900	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	s__Lactobacillus absiana	Yes
Clinical	SRR12557733_bin.10	92.85	0.317	0.333	23019	119	1999078	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Bulleidia	s__	No
Clinical	ERR4283428_bin.27	98.66	0	0.294	67206	61	2001900	d__Bacteria	p__Bacillota	c__Bacilli	o__Acholeplasmatales	f__Anaeroplasmataceae	g__CAG-307	s__CAG-307 sp001916215	Yes
Animal	SRR14202255_bin.15	90.09	0.943	0.373	11463	248	2022156	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Dielma	s__	No
Animal	SRR17230218_bin.31	91.8	1.3	0.352	216820	37	2026001	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	s__Lactobacillus intestinalis	Yes
Animal	SRR29429272_bin.7	99.17	0.662	0.367	122903	81	2029408	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus_E	s__Enterococcus_E cecorum	Yes
Animal	SRR21163513_bin.30	95.28	1.886	0.328	16380	180	2033667	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Amedibacterium	s__	No
Clinical	SRR6915136_bin.28	98.34	0	0.497	96741	37	2039887	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Limosilactobacillus	s__Limosilactobacillus oris	Yes
Animal	SRR15023580_bin.53	97.75	1.734	0.332	27023	132	2059657	d__Bacteria	p__Bacillota	c__Bacilli	o__RFN20	f__CAG-826	g__CAJOLV01	s__	No
Animal	SRR27680225_bin.2	93.94	2.223	0.344	15341	144	2059987	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	g__Globicatella	s__	No
Animal	SRR15023575_bin.21	96	0.121	0.292	24169	156	2073743	d__Bacteria	p__Bacillota	c__Bacilli	o__ML615J-28	f__CAG-698	g__JAEYQM01	s__	No
Animal	SRR20930608_bin.54	94.49	1.257	0.403	6288	434	2082036	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__C-19	s__C-19 sp910576855	Yes
Animal	SRR29757228_bin.42	98.97	0.471	0.349	25717	47	2083807	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Coprobacillaceae	g__Faecalibacillus	s__Faecalibacillus spiroforme_A	Yes
Clinical	SRR18191184_bin.17	98.19	0.374	0.434	107736	36	2102875	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus sobrinus	Yes
Animal	SRR29757238_bin.24	91.98	0.741	0.348	64387	58	2103202	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Coprobacillaceae	g__Faecalibacillus	s__	No
Environment	SRR13727539_bin.2	97.33	2.666	0.377	25863	176	2112427	d__Bacteria	p__Bacillota	c__Bacilli	o__Izemoplasmatales	f__UBA5603	g__	s__	No
Animal	SRR14202257_bin.14	99.19	0	0.379	84625	79	2119476	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Weissella	s__Weissella paramesenteroides	Yes
Animal	SRR29429277_bin.17	91.46	0.943	0.508	10214	59	2123676	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Merdibacter	s__	No
Clinical	SRR21615092_bin.60	98.5	0.165	0.382	34548	101	2126100	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus_G	s__Enterococcus_G sp913775425	Yes
Clinical	SRR12557734_bin.116	92.29	0.943	0.299	30262	92	2129153	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Coprobacillaceae	g__Faecalibacillus	s__	No
Animal	SRR17230215_bin.10	100	1.257	0.349	134961	29	2146895	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Coprobacillaceae	g__Fimiplasma	s__Fimiplasma sp910588165	Yes
Clinical	ERR4283226_bin.39	97.84	1.111	0.331	29076	143	2157279	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Holdemanella	s__Holdemanella sp900547815	Yes
Animal	SRR29757208_bin.18	100	0.453	0.438	55956	47	2178553	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Bulleidia	s__Bulleidia sp905201565	Yes
Animal	SRR21163513_bin.33	100	1.886	0.439	38050	100	2207151	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Merdibacter	s__Merdibacter sp900759455	Yes
Animal	SRR29757210_bin.6	98.11	1.886	0.288	25591	106	2211252	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Coprobacillaceae	g__Thomasclavelia	s__	No
Animal	SRR14202239_bin.4	100	0	0.303	44033	127	2219735	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Coprobacillaceae	g__MGBC140090	s__	No
Animal	SRR17230220_bin.37	100	1.132	0.393	41687	72	2225541	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Lactococcus	s__Lactococcus sp943193185	Yes
Animal	SRR23013069_bin.31	99.05	0.943	0.386	24116	159	2243700	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__C-19	s__C-19 sp009917405	Yes
Clinical	ERR525804_bin.45	97.3	0.943	0.385	56250	54	2246283	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Faecalicoccus	s__Faecalicoccus sp900546545	Yes
Animal	SRR21163439_bin.37	92.31	3.144	0.524	6273	474	2256610	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Merdibacter	s__Merdibacter merdavium	Yes
Animal	SRR14202214_bin.8	99.05	0.943	0.296	79324	77	2275988	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Coprobacillaceae	g__Beduini	s__Beduini sp018365815	Yes
Animal	SRR14202257_bin.22	98.77	1.307	0.45	69496	63	2301326	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Weissella	s__Weissella cibaria	Yes
Animal	SRR15023591_bin.1	92	1.333	0.32	24072	168	2309590	d__Bacteria	p__Bacillota	c__Bacilli	o__Acholeplasmatales	f__Anaeroplasmataceae	g__Anaeroplasma	s__Anaeroplasma sp017388605	Yes
Animal	SRR17230211_bin.11	97.9	0.523	0.399	60153	84	2313849	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Ligilactobacillus	s__Ligilactobacillus murinus	Yes
Animal	SRR15023590_bin.16	99.87	0.499	0.386	84310	49	2315735	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus orisratti	Yes
Clinical	SRR9865541_bin.11	100	0	0.285	42868	125	2337415	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Coprobacillaceae	g__Thomasclavelia	s__Thomasclavelia spiroformis_A	Yes
Clinical	SRR18191133_bin.29	94.99	0.943	0.31	11160	292	2352581	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Coprobacillaceae	g__Massilimicrobiota	s__Massilimicrobiota sp024399475	Yes
Animal	SRR29757220_bin.63	98.11	0.943	0.353	40677	85	2375644	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Coprobacillaceae	g__Fimiplasma	s__	No
Animal	CRR657437_bin.8	93.71	2.021	0.403	23412	157	2375836	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Ileibacterium	s__Ileibacterium valens	Yes
Animal	SRR29354204_bin.19	100	1.121	0.313	46889	153	2378545	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Coprobacillaceae	g__Massilimicrobiota	s__Massilimicrobiota sp944326805	Yes
Animal	SRR20930593_bin.48	91.04	2.025	0.367	45720	107	2384170	d__Bacteria	p__Bacillota	c__Bacilli	o__Haloplasmatales	f__Turicibacteraceae	g__Turicibacter	s__Turicibacter sp002311155	Yes
Animal	CRR537797_bin.2	98.09	0.866	0.419	31283	171	2387836	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Anoxybacillaceae	g__Anoxybacillus	s__Anoxybacillus flavithermus_G	Yes
Clinical	SRR18191176_bin.46	98.11	0.134	0.313	44576	92	2412662	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Coprobacillaceae	g__Massilimicrobiota	s__Massilimicrobiota merdigallinarum	Yes
Animal	SRR29472742_bin.18	98.11	0.134	0.352	52370	30	2418778	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Coprobacillaceae	g__Faecalibacillus	s__	No
Animal	ERR2027898_bin.28	99.05	0.943	0.37	32144	136	2420418	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Coprobacillaceae	g__Sharpea	s__Sharpea azabuensis	Yes
Animal	SRR27680232_bin.4	94.33	2.407	0.391	18395	118	2432663	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	g__Fundicoccus	s__	No
Clinical	SRR14000941_bin.12	99.47	0.785	0.356	75040	48	2443074	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Companilactobacillus	s__Companilactobacillus pabuli	Yes
Clinical	SRR1950730_bin.3	99.56	0.28	0.324	108180	55	2475810	d__Bacteria	p__Bacillota	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus warneri_A	Yes
Animal	SRR29472731_bin.54	93.39	0	0.293	58387	37	2519497	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Coprobacillaceae	g__Thomasclavelia	s__	No
Clinical	ERR4283407_bin.16	98.87	1.123	0.272	115188	64	2521332	d__Bacteria	p__Bacillota	c__Bacilli	o__RFN20	f__CAG-631	g__Caccosoma	s__Caccosoma sp934201705	Yes
Animal	ERR2027907_bin.62	100	0.317	0.498	51302	70	2522828	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Bulleidia	s__Bulleidia intestinalis	Yes
Animal	CRR657435_bin.32	90.43	0	0.455	17467	216	2539722	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Allobaculum	s__Allobaculum sp015233825	Yes
Animal	CRR656999_bin.39	95.28	2.695	0.527	103288	46	2541110	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__	s__	No
Clinical	SRR14000983_bin.40	100	0.943	0.282	71142	63	2544282	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Coprobacillaceae	g__Thomasclavelia	s__	No
Clinical	SRR12557734_bin.286	96.72	1.548	0.348	75092	61	2564908	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Carnobacteriaceae	g__Carnobacterium_A	s__Carnobacterium_A jeotgali	Yes
Clinical	SRR20677871_bin.30	95.28	0	0.288	29227	135	2573718	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Coprobacillaceae	g__Faecalibacillus	s__Faecalibacillus sp900544435	Yes
Animal	SRR20930601_bin.52	95.14	1.752	0.475	28907	137	2587105	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Dubosiella	s__Dubosiella sp910585105	Yes
Clinical	SRR17648430_bin.7	98.58	0.134	0.313	61780	73	2607686	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Coprobacillaceae	g__Massilimicrobiota	s__Massilimicrobiota sp002160865	Yes
Animal	ERR2027921_bin.21	99.05	0.943	0.393	23825	174	2632904	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Coprobacillaceae	g__Intestinibaculum	s__Intestinibaculum porci	Yes
Animal	SRR14202238_bin.48	96.52	0.551	0.361	36687	116	2633149	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus_E	s__Enterococcus_E cecorum_A	Yes
Clinical	SRR18191178_bin.25	99.46	0.131	0.328	266845	18	2714852	d__Bacteria	p__Bacillota	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus aureus	Yes
Animal	SRR17230221_bin.18	99.05	0	0.286	38345	129	2733254	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Coprobacillaceae	g__Thomasclavelia	s__Thomasclavelia cocleata	Yes
Animal	SRR17230213_bin.5	99.44	1.944	0.326	211994	21	2790205	d__Bacteria	p__Bacillota	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus xylosus	Yes
Animal	SRR29354200_bin.11	100	0	0.293	68602	35	2799706	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Coprobacillaceae	g__Thomasclavelia	s__Thomasclavelia merdavium	Yes
Animal	ERR2027904_bin.71	97.14	0.634	0.444	29517	161	2802594	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Bulleidia	s__Bulleidia sp900315065	Yes
Animal	SRR29409649_bin.11	96.69	0	0.281	38619	42	2805209	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Coprobacillaceae	g__Thomasclavelia	s__Thomasclavelia spiroformis	Yes
Animal	CRR537291_bin.3	98.21	0.051	0.536	13411	296	2827364	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Anoxybacillaceae	g__Geobacillus	s__Geobacillus sp002809955	Yes
Environment	SRR10002934_bin.4	98.25	0.655	0.378	35697	118	2892288	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Listeriaceae	g__Listeria	s__Listeria monocytogenes_B	Yes
Animal	SRR18233574_bin.62	93.39	0.539	0.457	25249	181	2897733	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Allobaculum	s__Allobaculum sp910579655	Yes
Clinical	SRR13077879_bin.21	95.41	0	46.89	58129	84	3027917	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Coprobacillaceae	g__Coprobacillus	s__Coprobacillus cateniformis	Yes
Clinical	SRR18191193_bin.43	99.39	0	0.34	85469	66	3034737	d__Bacteria	p__Bacillota	c__Bacilli	o__Haloplasmatales	f__Turicibacteraceae	g__Turicibacter	s__Turicibacter sanguinis	Yes
Environment	SRR22259337_bin.1	97.69	1.538	0.494	14569	330	3046647	d__Bacteria	p__Bacillota	c__Bacilli	o__Thermoactinomycetales	f__Thermoactinomycetaceae	g__Staphylospora	s__	No
Clinical	SRR12557706_bin.47	97.35	2.162	0.397	10447	401	3084708	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Planococcaceae	g__Kurthia	s__Kurthia intestinigallinarum	Yes
Environment	SRR13776095_bin.1	98.36	0.546	0.39	109937	47	3094966	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__JACDOC01	g__JACDOC01	s__JACDOC01 sp017656295	Yes
Animal	SRR14202217_bin.27	99.33	1.49	0.397	205967	28	3175621	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Planococcaceae	g__Kurthia	s__	No
Environment	SRR13776092_bin.5	98	1.333	0.41	117036	43	3238274	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales_D	f__Alkalibacillaceae	g__Melghiribacillus	s__Melghiribacillus sp017656265	Yes
Clinical	SRR12557734_bin.163	91.72	2.869	0.387	16094	284	3280339	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Planococcaceae	g__Solibacillus	s__Solibacillus silvestris	Yes
Animal	SRR14202211_bin.8	90.05	2.394	0.34	20714	254	3284092	d__Bacteria	p__Bacillota	c__Bacilli	o__Haloplasmatales	f__Turicibacteraceae	g__Turicibacter	s__	No
Clinical	SRR23364216_bin.14	94.33	0	0.334	74260	86	3904542	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__NSJ-61	s__	No
Environment	SRR6144754_bin.32	100	0.222	0.35	714907	20	4105337	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales_D	f__Amphibacillaceae	g__Oceanobacillus	s__Oceanobacillus kimchii	Yes
Clinical	SRR18191184_bin.24	97.68	0.551	0.376	44364	155	4273823	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Planococcaceae	g__Lysinibacillus	s__Lysinibacillus capsici	Yes
Animal	SRR15023613_bin.3	91.87	4.043	0.522	6101	946	4288390	d__Bacteria	p__Bacillota	c__Bacilli	o__Paenibacillales	f__Paenibacillaceae	g__Paenibacillus_A	s__Paenibacillus_A barengoltzii	Yes
Environment	ERR6430821_bin.2	97.68	4.083	0.357	19475	359	4299660	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales_H	f__Anaerobacillaceae	g__Anaerobacillus	s__	No
Clinical	SRR12442179_bin.29	92.7	3.37	24.37	79739	24	1039991	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Agathobacter	s__Agathobacter rectalis	Yes
Clinical	SRR12328906_bin.29	92.42	1.69	26.57	627772	6	1155781	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnospira	s__Lachnospira sp003451515	Yes
Clinical	SRR18191190_bin.10	92.72	0	0.367	97675	21	1393052	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__UBA4285	s__UBA4285 sp900545225	Yes
