Category,Bin,Completeness,Contamination,GC_content,N50,N_contigs,Size,Classification,p,c,o,f,g,s,Annotated.at.the.species.level
Clinical,SRR14355377_bin.1,97.58,0.806,0.578,214465,22,1854752,d__Bacteria,p__Actinomycetota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella sp900768795,Yes
Animal,SRR18233574_bin.55,94.73,3.225,0.482,10184,282,1855076,d__Bacteria,p__Actinomycetota,c__Coriobacteriia,o__Coriobacteriales,f__Eggerthellaceae,g__D16-34,s__D16-34 sp910588485,Yes
Environment,SRR25018358_bin.5,94.38,3.006,0.554,15632,186,1855169,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,f__Rhodocyclaceae,g__Fluviibacter,s__Fluviibacter phosphoraccumulans,Yes
Clinical,SRR17827832.bin_8,98.73,0,46.2,270524,3,1855634,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Veillonellales,f__Dialisteraceae,g__Allisonella,s__Allisonella histaminiformans,Yes
Clinical,SRR14355437_bin.34,97.26,0,0.417,276347,53,1855784,d__Bacteria,p__Bacillota,c__Bacilli,o__RFN20,f__CAG-288,g__Enterosoma,s__Enterosoma sp900549915,Yes
Animal,SRR18233571_bin.14,97.84,0,0.446,62357,55,1855846,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__RF32,f__CAG-239,g__HGM16780,s__HGM16780 sp900538765,Yes
Animal,ERR2027893_bin.14,90.56,3.248,0.549,7132,367,1856017,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__Ruminococcus_E,s__Ruminococcus_E sp900317315,Yes
Clinical,ERR4283222_bin.50,93.68,0.503,0.344,7811,337,1856409,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Ruminococcus_C,s__Ruminococcus_C sp900770195,Yes
Animal,SRR29536163_bin.26,94.52,0,0.522,367392,348,1856890,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA932,g__Cryptobacteroides,s__,No
Environment,SRR21524769_bin.4,97.48,3.35,0.422,17360,170,1857381,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,f__Methylophilaceae,g__Methylotenera,s__Methylotenera sp021738125,Yes
Animal,SRR14202251_bin.33,98.11,2.291,0.376,55593,56,1857674,d__Bacteria,p__Bacillota,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Allobaculum,s__Allobaculum stercoricanis,Yes
Clinical,ERR4283436_bin.30,95.56,0,0.51,104763,23,1858379,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__Borkfalkiaceae,g__Coproplasma,s__Coproplasma stercoravium,Yes
Clinical,SRR5405686_bin.3,99.65,0.113,0.383,193653,14,1858976,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Pasteurellaceae,g__Haemophilus,s__Haemophilus haemolyticus,Yes
Clinical,ERR4283406_bin.40,91.27,4.832,0.603,84081,37,1859624,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Faecousia,s__Faecousia sp900546415,Yes
Clinical,ERR3406268_bin.8,99.22,0,0.349,387878,10,1859769,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus gasseri,Yes
Animal,ERR2027899_bin.2,97.37,1.123,0.455,32994,82,1859830,d__Bacteria,p__Bacillota,c__Bacilli,o__RFN20,f__CAG-288,g__Enterosoma,s__Enterosoma sp900316035,Yes
Animal,SRR21163431_bin.87,97.21,4.893,0.488,10227,259,1859921,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__JAFGXN01,f__CALXOJ01,g__CALXOJ01,s__,No
Clinical,ERR4283401_bin.43,93.95,1.612,0.464,114453,24,1859967,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__Borkfalkiaceae,g__UBA10281,s__UBA10281 sp900548285,Yes
Animal,SRR29429232_bin.3,93.95,0.026,0.457,69513,52,1860622,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__DTU072,g__CAG-1782,s__CAG-1782 sp944349655,Yes
Environment,SRR16108675_bin.75,92.17,1.034,0.716,9636,290,1860944,d__Bacteria,p__Actinomycetota,c__Thermoleophilia,o__Miltoncostaeales,f__Miltoncostaeaceae,g__SYFI01,s__,No
Animal,SRR15023607_bin.36,97.02,1.403,0.433,9670,270,1861210,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__Eubacterium_R,s__,No
Animal,SRR15023572_bin.32,99.52,0.158,0.337,104399,61,1861755,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Capnocytophaga,s__,No
Animal,SRR15023607_bin.15,92.61,0.713,0.591,46046,52,1861790,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Lawsonibacter,s__,No
Animal,SRR18233564_bin.75,90.15,0.223,0.43,79003,69,1862313,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__UBA3700,g__RACS-045,s__RACS-045 sp910579785,Yes
Clinical,SRR12442174_bin.1,98.6,0,36.79,108844,36,1862468,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Faecousia,s__Faecousia sp003525905,Yes
Animal,SRR29449381_bin.14,93.95,1.034,0.489,13667,328,1862705,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__Borkfalkiaceae,g__Borkfalkia,s__,No
Animal,SRR21163516_bin.30,98.09,0.317,0.534,58869,70,1862918,d__Bacteria,p__Bacillota,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Bulleidia,s__,No
Animal,SRR29757236_bin.70,91.39,4.395,0.359,121447,50,1862997,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__RF32,f__CAG-239,g__CAG-267,s__,No
Environment,SRR8208346_bin.8,95.41,0.868,0.555,27463,101,1863283,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,f__Rhodocyclaceae,g__Fluviibacter,s__Fluviibacter sp023253415,Yes
Clinical,SRR18191191_bin.33,97.87,0,0.394,115481,29,1863354,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Peptostreptococcales,f__Anaerovoracaceae,g__Fimisoma,s__Fimisoma sp900542295,Yes
Clinical,SRR12557734_bin.89,94.72,0,0.498,49950,62,1863375,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__CAG-382,g__UBA1206,s__UBA1206 sp000433115,Yes
Animal,SRR29757212_bin.14,99.03,0.48,0.55,106483,23,1863614,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__Alistipes sp900550925,Yes
Animal,SRR29536187_bin.33,94.29,2.953,0.574,152948,558,1863629,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Enterenecus,s__,No
Animal,SRR28497701_bin.42,93.78,1.415,0.409,14575,70,1863832,d__Bacteria,p__Bacillota,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Merdibacter,s__,No
Animal,SRR15023602_bin.51,98.22,0,0.447,29195,108,1864311,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Peptostreptococcales,f__Anaerovoracaceae,g__,s__,No
Clinical,SRR9865455_bin.1,99.3,0,0.411,234481,14,1864835,d__Bacteria,p__Bacillota,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Ligilactobacillus,s__Ligilactobacillus animalis,Yes
Clinical,SRR13077902_bin.10,97.32,0,43.76,492714,11,1864918,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Tissierellales,f__Peptoniphilaceae,g__Finegoldia,s__Finegoldia magna,Yes
Animal,SRR15023587_bin.13,94.78,0,0.33,31619,89,1865551,d__Bacteria,p__Bacillota,c__Bacilli,o__Acholeplasmatales,f__Anaeroplasmataceae,g__Anaeroplasma,s__,No
Animal,SRR15023598_bin.47,95.52,0,0.583,212180,18,1866058,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__CAG-272,g__UBA1740,s__,No
Animal,ERR2027908_bin.56,95.74,2.882,0.522,19471,132,1867029,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__Ruminococcus_E,s__Ruminococcus_E sp900316555,Yes
Clinical,SRR17648358_bin.29,100,0,0.603,85937,37,1867052,d__Bacteria,p__Actinomycetota,c__Coriobacteriia,o__Coriobacteriales,f__QAMH01,g__QAMH01,s__QAMH01 sp900544245,Yes
Clinical,ERR525690_bin.5,97.75,0.817,0.39,9038,283,1867153,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Veillonellales,f__Veillonellaceae,g__Veillonella,s__Veillonella parvula_A,Yes
Clinical,ERR3405592_bin.2,100,0,0.41,293840,13,1867291,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__,No
Clinical,SRR5575426_bin.8,93.23,0.882,0.585,31712,99,1868021,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Mycobacteriaceae,g__Lawsonella,s__Lawsonella clevelandensis,Yes
Clinical,SRR12328893_bin.27,97.32,0,41.2,432507,12,1868291,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Faecalibacterium,s__Faecalibacterium longum,Yes
Clinical,SRR159100501.bin_27,95.6,0,47.4,116071,1,1868355,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__RF32,f__CAG-239,g__CAG-267,s__CAG-267 sp001917135,Yes
Clinical,ERR4283232_bin.37,99.28,2.095,0.478,169349,17,1868995,d__Bacteria,p__Bacillota_C,c__Negativicutes,o__Acidaminococcales,f__Acidaminococcaceae,g__Succiniclasticum,s__Succiniclasticum sp900544275,Yes
Clinical,SRR13077741_bin.24,99.48,0,32.55,380676,11,1869005,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__CAG-217,s__CAG-217 sp000436335,Yes
Animal,CRR537889_bin.70,91.41,2.416,0.49,26417,104,1869069,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Alloprevotella,s__,No
Clinical,SRR12557734_bin.256,92.63,0,0.407,83839,47,1869126,d__Bacteria,p__Bacillota_A,c__Clostridia,o__HGM11327,f__HGM11327,g__SIG351,s__SIG351 sp905210525,Yes
Clinical,ERR3404680_bin.1,98.87,1.978,0.402,27616,98,1869352,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus mitis_L,Yes
Animal,SRR15023588_bin.14,91.48,2.298,0.519,8557,314,1870079,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__CAG-272,g__RGIG6816,s__RGIG6816 sp017542695,Yes
Clinical,SRR8692231_bin.30,97.98,0,0.374,246381,12,1870568,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__UMGS1071,s__UMGS1071 sp900548305,Yes
Clinical,ERR3405029_bin.8,99.08,0.203,0.319,159370,19,1870966,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Tissierellales,f__Peptoniphilaceae,g__Finegoldia,s__Finegoldia magna_F,Yes
Animal,SRR24857239_bin.6,96.95,0.961,0.554,46339,85,1871699,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__Alistipes sp003979135,Yes
Clinical,ERR525695_bin.6,95.43,1.947,0.401,15167,170,1871790,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus mitis_D,Yes
Animal,SRR29472742_bin.1,94.63,0.671,0.482,153086,255,1872900,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Butyricicoccaceae,g__JAEDEU01,s__,No
Environment,SRR5002404_bin.58,91.25,0.99,50.76,201769,31,1873944,d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__UBA2979,f__UBA2979,g__UBA6627,s__UBA6627 sp002455955,Yes
Clinical,SRR12557734_bin.224,92.98,1.962,0.464,26885,113,1874080,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__UBA6857,s__UBA6857 sp934511365,Yes
Animal,SRR29536182_bin.15,96.84,1.875,0.49,41084,35,1874242,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae_A,g__Aphodousia,s__Aphodousia sp905201055,Yes
Clinical,SRR5405655_bin.7,100,0.592,0.569,195688,17,1875911,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Actinomycetaceae,g__Pauljensenia,s__Pauljensenia turicensis,Yes
Clinical,ERR3404835_bin.5,99.45,0.819,0.432,52727,56,1877473,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Limosilactobacillus,s__,No
Animal,SRR29757209_bin.41,93.17,0.167,0.413,151353,91,1878181,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__UBA3700,g__RACS-045,s__RACS-045 sp944376205,Yes
Clinical,ERR3405360_bin.5,98.38,0.08,0.629,26914,107,1878368,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae,g__Parolsenella,s__Parolsenella sp900544655,Yes
Animal,ERR2027896_bin.19,93.95,0,0.522,39633,72,1879290,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__RUG592,s__RUG592 sp900317025,Yes
Clinical,ERR3406085_bin.8,99.19,0,0.634,96199,32,1879461,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__,No
Animal,SRR24359761_bin.2,99.6,0.07,0.37,135006,33,1879706,d__Bacteria,p__Campylobacterota,c__Campylobacteria,o__Campylobacterales,f__Helicobacteraceae,g__Helicobacter_D,s__Helicobacter_D rodentium,Yes
Clinical,SRR21144642_bin.19,95.8,0,0.39,58609,65,1881280,d__Bacteria,p__Bacillota_C,c__Negativicutes,o__Veillonellales,f__Veillonellaceae,g__Veillonella,s__Veillonella sp900552445,Yes
Clinical,SRR6915130_bin.21,98.36,0.806,0.497,43756,66,1881312,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__CAG-138,g__PeH17,s__PeH17 sp900542285,Yes
Animal,SRR14202244_bin.6,98.38,1.814,0.631,30627,93,1881542,d__Bacteria,p__Actinomycetota,c__Coriobacteriia,o__Coriobacteriales,f__Eggerthellaceae,g__Slackia_A,s__Slackia_A faecicanis,Yes
Clinical,SRR18191193_bin.44,99.19,0.806,0.529,438685,5,1881653,d__Bacteria,p__Actinomycetota,c__Coriobacteriia,o__Coriobacteriales,f__Eggerthellaceae,g__Anaerotardibacter,s__Anaerotardibacter sp000436075,Yes
Clinical,ERR3405928_bin.10,98.36,0.543,0.4,80039,36,1881963,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Limosilactobacillus,s__Limosilactobacillus portuensis,Yes
Clinical,SRR5575620_bin.1,99.62,0.012,0.387,205161,18,1883044,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus anginosus,Yes
Animal,ERR2282092_bin.18,99.64,0.709,0.559,28454,99,1883049,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Peptostreptococcales,f__Anaerovoracaceae,g__Eubacterium_T,s__Eubacterium_T pyruvativorans,Yes
Clinical,SRR13077822_bin.2,98.94,0.09,37.78,255008,12,1883199,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Blautia_A,s__Blautia_A faecis,Yes
Clinical,SRR12442174_bin.6,97.55,0.7,35.2,68442,52,1883837,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Eubacterium_G,s__Eubacterium_G ventriosum,Yes
Animal,SRR29536189_bin.63,93.06,0,0.47,13691,51,1884254,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Monoglobales,f__Monoglobaceae,g__Monoglobus,s__Monoglobus merdigallinarum,Yes
Environment,SRR25018382_bin.21,98.27,3.448,0.652,35020,114,1884948,d__Bacteria,p__Actinomycetota,c__Thermoleophilia,o__Solirubrobacterales,f__70-9,g__67-14,s__67-14 sp903939845,Yes
Clinical,SRR12442177_bin.18,95.26,1.37,42.08,27037,129,1885688,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Escherichia,s__Escherichia coli,Yes
Animal,SRR18233566_bin.77,91.01,3.37,0.262,90012,54,1886143,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__Coprovivens,s__Coprovivens sp910584655,Yes
Animal,SRR21163444_bin.33,96.64,0,0.445,29919,104,1886175,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__CAG-217,s__,No
Clinical,ERR1995266_bin.2,93.52,1.261,0.574,170429,59,1886373,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Fusicatenibacter,s__Fusicatenibacter saccharivorans,Yes
Environment,SRR21524782_bin.23,93.4,0,0.303,18378,159,1886594,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Rickettsiales,f__UBA1997,g__UBA2645,s__,No
Clinical,SRR5273963_bin.2,100,0.631,0.557,217721,18,1886663,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Actinomycetaceae,g__Pauljensenia,s__Pauljensenia sp900541895,Yes
Animal,SRR29536189_bin.20,92.16,1.612,0.608,189840,270,1887078,d__Bacteria,p__Actinomycetota,c__Coriobacteriia,o__Coriobacteriales,f__Eggerthellaceae,g__Aphodovivens,s__,No
Clinical,SRR14355318_bin.3,90.59,1.139,0.321,89504,56,1887775,d__Bacteria,p__Cyanobacteriota,c__Vampirovibrionia,o__Gastranaerophilales,f__Gastranaerophilaceae,g__Zag111,s__Zag111 sp002102825,Yes
Environment,SRR13727528_bin.22,96.93,0.612,0.372,20754,154,1888529,d__Bacteria,p__Campylobacterota,c__Campylobacteria,o__Campylobacterales,f__Sulfurimonadaceae,g__Sulfurimonas,s__,No
Animal,SRR29472728_bin.32,98.65,0,0.424,141519,269,1888572,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__Eubacterium_R,s__Eubacterium_R faecigallinarum,Yes
Clinical,ERR4283285_bin.50,91.67,1.25,0.646,6748,362,1888721,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae_A,g__Duodenibacillus,s__Duodenibacillus sp944390745,Yes
Animal,SRR15023611_bin.22,91.82,0,0.454,446589,11,1888738,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Phocaeicola,s__,No
Clinical,SRR13077708_bin.25,100,0,57.71,150869,27,1889035,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Copromonas,s__Copromonas sp900066535,Yes
Clinical,SRR13077873_bin.27,96.37,1.21,55.91,19469,162,1889348,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Clostridium_Q,s__Clostridium_Q fessum,Yes
Clinical,SRR6795044_bin.1,98.12,1.244,0.386,21131,142,1889368,d__Bacteria,p__Campylobacterota,c__Campylobacteria,o__Campylobacterales,f__Helicobacteraceae,g__Helicobacter_B,s__Helicobacter_B fennelliae,Yes
Environment,ERR1713347_bin.23,90.05,0.65,0.29,5646,401,1889519,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__DTU049,g__DTU049,s__DTU049 sp001513285,Yes
Animal,SRR29757232_bin.45,91.16,2.564,0.311,84821,31,1889636,d__Bacteria,p__Cyanobacteriota,c__Vampirovibrionia,o__Gastranaerophilales,f__Gastranaerophilaceae,g__Avigastranaerophilus,s__,No
Clinical,SRR5963410_bin.5,100,0.187,0.4,72910,46,1889737,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus mitis_BB,Yes
Clinical,SRR14355354_bin.37,98.52,0.073,0.413,213340,16,1889937,d__Bacteria,p__Campylobacterota,c__Campylobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Campylobacter_D,s__Campylobacter_D sp900539255,Yes
Animal,SRR29449921_bin.29,92.56,0.9,0.618,149246,220,1890292,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Opitutales,f__UBA953,g__Spyradosoma,s__Spyradosoma merdigallinarum,Yes
Environment,SRR9924763_bin.15,90.57,2.945,0.423,14582,257,1890688,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__JJ008,s__JJ008 sp014190475,Yes
Animal,SRR15023597_bin.16,90.02,0.854,0.308,60517,52,1890731,d__Bacteria,p__Cyanobacteriota,c__Vampirovibrionia,o__Gastranaerophilales,f__RUG14156,g__Galligastranaerophilus_A,s__,No
Clinical,SRR17048945_bin.15,90.74,0,0.457,10211,238,1890943,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__CAG-488,s__CAG-488 sp900554995,Yes
Clinical,ERR4283383_bin.35,90.93,0,0.525,121800,37,1891024,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__F23-B02,s__F23-B02 sp000431075,Yes
Animal,SRR14202207_bin.5,95.58,0.552,0.371,55393,79,1891051,d__Bacteria,p__Bacillota,c__Bacilli,o__Staphylococcales,f__Staphylococcaceae,g__Macrococcus_B,s__Macrococcus_B caseolyticus,Yes
Animal,SRR29757215_bin.19,96.77,0.052,0.545,125646,325,1891108,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__Borkfalkiaceae,g__RGIG8762,s__RGIG8762 sp944342055,Yes
Animal,ERR2027892_bin.37,95.66,0,0.593,65141,48,1891625,d__Bacteria,p__Bacillota_C,c__Negativicutes,o__Acidaminococcales,f__Acidaminococcaceae,g__Succiniclasticum,s__Succiniclasticum sp900315805,Yes
Clinical,ERR4283265_bin.25,90.02,0.671,0.551,56198,48,1891648,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__F23-B02,s__F23-B02 sp900556535,Yes
Clinical,SRR17827825.bin_30,95.97,0,49.2,134100,10,1892352,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__4C28d-15,f__CAG-727,g__UBA7597,s__UBA7597 sp003448195,Yes
Animal,SRR29536165_bin.49,95.45,4.545,0.472,15027,95,1892595,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Peptostreptococcales,f__Anaerovoracaceae,g__Lentihominibacter,s__,No
Animal,ERR2027908_bin.41,90.22,1.898,0.535,25856,113,1892872,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Porcincola,s__Porcincola sp902799015,Yes
Clinical,SRR12137097_bin.101,93.28,0,0.563,90003,33,1893613,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Schneewindia,s__Schneewindia gallinarum,Yes
Animal,SRR29429232_bin.55,95.15,0,0.495,68026,60,1893686,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__UBA3700,g__Ornithoclostridium,s__,No
Clinical,ERR3406055_bin.10,98.37,0,0.37,48668,66,1893789,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus gigeriorum,Yes
Environment,SRR25018402_bin.5,97.97,0.264,0.442,20523,131,1894189,d__Bacteria,p__Chlamydiota,c__Chlamydiia,o__Chlamydiales,f__Parachlamydiaceae,g__JABDGQ01,s__,No
Environment,SRR6144760_bin.9,90.74,0.579,0.446,205090,12,1894575,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Micavibrionales,f__Micavibrionaceae,g__UBA9664,s__,No
Clinical,SRR12557734_bin.74,100,0.806,0.6,94115,31,1894900,d__Bacteria,p__Actinomycetota,c__Coriobacteriia,o__Coriobacteriales,f__QAMH01,g__W2P13-069,s__,No
Animal,SRR21163430_bin.30,96.16,2.523,0.467,14850,199,1895277,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Eubacteriales,f__Eubacteriaceae,g__Eubacterium,s__,No
Clinical,ERR4283451_bin.3,90.26,0,0.542,66163,46,1895490,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__F23-B02,s__F23-B02 sp004556755,Yes
Animal,CRR657436_bin.29,94.29,0.377,0.63,49606,65,1895847,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__MGBC124762,s__,No
Environment,SRR8208344_bin.62,99.64,0,0.468,146643,22,1895863,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Saccharofermentanales,f__Saccharofermentanaceae,g__Saccharofermentans,s__Saccharofermentans sp022484595,Yes
Clinical,SRR5963176_bin.10,95.85,1.104,0.305,112536,23,1895879,d__Bacteria,p__Firmicutes,c__Bacilli,o__Staphylococcales,f__Gemellaceae,g__Gemella,s__Gemella sp002871655,Yes
Animal,SRR29757244_bin.12,95.45,1.14,0.456,25728,136,1896957,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__UBA3700,g__Ornithoclostridium,s__Ornithoclostridium sp944380275,Yes
Clinical,SRR16124332_bin.36,97.58,0.94,0.538,11376,227,1897925,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__CAG-138,g__Pelethousia,s__,No
Clinical,SRR6915115_bin.1,91.85,1.445,0.551,7609,325,1897974,d__Bacteria,p__Bacillota_C,c__Negativicutes,o__Selenomonadales,f__Selenomonadaceae,g__CAJPQU01,s__CAJPQU01 sp905373705,Yes
Clinical,SRR12557734_bin.215,95.97,2.013,0.616,116386,28,1897978,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__RUG11142,s__RUG11142 sp902766215,Yes
Clinical,SRR17827895.bin_41,93.15,0.94,44.8,57068,1,1898550,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__4C28d-15,f__CAG-727,g__,s__,No
Clinical,ERR525959_bin.17,98.65,0.335,0.41,18128,130,1898661,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__Ruminococcus_E,s__Ruminococcus_E sp900755995,Yes
Animal,SRR15023589_bin.27,94.42,0,0.446,191179,21,1899602,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA932,g__Egerieousia,s__Egerieousia sp017959005,Yes
